,LocationID,Borough,Zone,service_zone,lat,lon,lat_6,lon_6,geohash_6
0,1,EWR,Newark Airport,EWR,40.6895,74.1745,40.69,74.2,txhxrz
1,1,Queens,Jamaica Bay,Boro Zone,40.6057,73.8713,40.61,73.9,txhx0b
2,1,Bronx,Allerton/Pelham Gardens,Boro Zone,21.8869,159.4928,21.89,159.5,xeckt2
3,1,Manhattan,Alphabet City,Yellow Zone,40.7258,73.9775,40.72,74.,txhxem
4,1,Staten Island,Arden Heights,Boro Zone,40.5568,74.1739,40.56,74.2,txhwxz
5,1,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,,,-90.,-180.,000000
6,1,Queens,Astoria,Boro Zone,,,-90.,-180.,000000
7,1,Queens,Astoria Park,Boro Zone,,,-90.,-180.,000000
8,1,Queens,Auburndale,Boro Zone,,,-90.,-180.,000000
9,1,Queens,Baisley Park,Boro Zone,,,-90.,-180.,000000
10,1,Brooklyn,Bath Beach,Boro Zone,,,-90.,-180.,000000
11,1,Manhattan,Battery Park,Yellow Zone,,,-90.,-180.,000000
12,1,Manhattan,Battery Park City,Yellow Zone,,,-90.,-180.,000000
13,1,Brooklyn,Bay Ridge,Boro Zone,,,-90.,-180.,000000
14,1,Queens,Bay Terrace/Fort Totten,Boro Zone,,,-90.,-180.,000000
15,1,Queens,Bayside,Boro Zone,,,-90.,-180.,000000
16,1,Brooklyn,Bedford,Boro Zone,,,-90.,-180.,000000
17,1,Bronx,Bedford Park,Boro Zone,,,-90.,-180.,000000
18,1,Queens,Bellerose,Boro Zone,,,-90.,-180.,000000
19,1,Bronx,Belmont,Boro Zone,,,-90.,-180.,000000
20,1,Brooklyn,Bensonhurst East,Boro Zone,,,-90.,-180.,000000
21,1,Brooklyn,Bensonhurst West,Boro Zone,,,-90.,-180.,000000
22,1,Staten Island,Bloomfield/Emerson Hill,Boro Zone,,,-90.,-180.,000000
23,1,Manhattan,Bloomingdale,Yellow Zone,,,-90.,-180.,000000
24,1,Brooklyn,Boerum Hill,Boro Zone,,,-90.,-180.,000000
25,1,Brooklyn,Borough Park,Boro Zone,,,-90.,-180.,000000
26,1,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,,,-90.,-180.,000000
27,1,Queens,Briarwood/Jamaica Hills,Boro Zone,,,-90.,-180.,000000
28,1,Brooklyn,Brighton Beach,Boro Zone,,,-90.,-180.,000000
29,1,Queens,Broad Channel,Boro Zone,,,-90.,-180.,000000
30,1,Bronx,Bronx Park,Boro Zone,,,-90.,-180.,000000
31,1,Bronx,Bronxdale,Boro Zone,,,-90.,-180.,000000
32,1,Brooklyn,Brooklyn Heights,Boro Zone,,,-90.,-180.,000000
33,1,Brooklyn,Brooklyn Navy Yard,Boro Zone,,,-90.,-180.,000000
34,1,Brooklyn,Brownsville,Boro Zone,,,-90.,-180.,000000
35,1,Brooklyn,Bushwick North,Boro Zone,,,-90.,-180.,000000
36,1,Brooklyn,Bushwick South,Boro Zone,,,-90.,-180.,000000
37,1,Queens,Cambria Heights,Boro Zone,,,-90.,-180.,000000
38,1,Brooklyn,Canarsie,Boro Zone,,,-90.,-180.,000000
39,1,Brooklyn,Carroll Gardens,Boro Zone,,,-90.,-180.,000000
40,1,Manhattan,Central Harlem,Boro Zone,,,-90.,-180.,000000
41,1,Manhattan,Central Harlem North,Boro Zone,,,-90.,-180.,000000
42,1,Manhattan,Central Park,Yellow Zone,,,-90.,-180.,000000
43,1,Staten Island,Charleston/Tottenville,Boro Zone,,,-90.,-180.,000000
44,1,Manhattan,Chinatown,Yellow Zone,,,-90.,-180.,000000
45,1,Bronx,City Island,Boro Zone,,,-90.,-180.,000000
46,1,Bronx,Claremont/Bathgate,Boro Zone,,,-90.,-180.,000000
47,1,Manhattan,Clinton East,Yellow Zone,,,-90.,-180.,000000
48,1,Brooklyn,Clinton Hill,Boro Zone,,,-90.,-180.,000000
49,1,Manhattan,Clinton West,Yellow Zone,,,-90.,-180.,000000
50,1,Bronx,Co-Op City,Boro Zone,,,-90.,-180.,000000
51,1,Brooklyn,Cobble Hill,Boro Zone,,,-90.,-180.,000000
52,1,Queens,College Point,Boro Zone,,,-90.,-180.,000000
53,1,Brooklyn,Columbia Street,Boro Zone,,,-90.,-180.,000000
54,1,Brooklyn,Coney Island,Boro Zone,,,-90.,-180.,000000
55,1,Queens,Corona,Boro Zone,,,-90.,-180.,000000
56,1,Queens,Corona,Boro Zone,,,-90.,-180.,000000
57,1,Bronx,Country Club,Boro Zone,,,-90.,-180.,000000
58,1,Bronx,Crotona Park,Boro Zone,,,-90.,-180.,000000
59,1,Bronx,Crotona Park East,Boro Zone,,,-90.,-180.,000000
60,1,Brooklyn,Crown Heights North,Boro Zone,,,-90.,-180.,000000
61,1,Brooklyn,Crown Heights South,Boro Zone,,,-90.,-180.,000000
62,1,Brooklyn,Cypress Hills,Boro Zone,,,-90.,-180.,000000
63,1,Queens,Douglaston,Boro Zone,,,-90.,-180.,000000
64,1,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,,,-90.,-180.,000000
65,1,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,,,-90.,-180.,000000
66,1,Brooklyn,Dyker Heights,Boro Zone,,,-90.,-180.,000000
67,1,Manhattan,East Chelsea,Yellow Zone,,,-90.,-180.,000000
68,1,Bronx,East Concourse/Concourse Village,Boro Zone,,,-90.,-180.,000000
69,1,Queens,East Elmhurst,Boro Zone,,,-90.,-180.,000000
70,1,Brooklyn,East Flatbush/Farragut,Boro Zone,,,-90.,-180.,000000
71,1,Brooklyn,East Flatbush/Remsen Village,Boro Zone,,,-90.,-180.,000000
72,1,Queens,East Flushing,Boro Zone,,,-90.,-180.,000000
73,1,Manhattan,East Harlem North,Boro Zone,,,-90.,-180.,000000
74,1,Manhattan,East Harlem South,Boro Zone,,,-90.,-180.,000000
75,1,Brooklyn,East New York,Boro Zone,,,-90.,-180.,000000
76,1,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,,,-90.,-180.,000000
77,1,Bronx,East Tremont,Boro Zone,,,-90.,-180.,000000
