LocationID,Borough,Zone,service_zone,lat,lon,"lat,lon",lat_6,lon_6,geohash_6
1,EWR,Newark Airport,EWR,40.68906405,-74.17725485035349,"(40.68906405, -74.1772548503535)",40.69,-74.2,dr5r2p
2,Queens,Jamaica Bay,Boro Zone,40.603993599999995,-73.83541240000001,"(40.6039936, -73.8354124)",40.6,-73.8,dr5qzz
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.8612,-73.8448,"(40.8612, -73.8448)",40.86,-73.8,dr72rw
4,Manhattan,Alphabet City,Yellow Zone,40.7251022,-73.9795833,"(40.7251022, -73.9795833)",40.72,-74.0,dr5rst
5,Staten Island,Arden Heights,Boro Zone,40.5576295,-74.1886086467958,"(40.5576295, -74.1886086467958)",40.56,-74.2,dr5nxz
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.60076325,-74.0578531843121,"(40.60076325, -74.0578531843121)",40.6,-74.1,dr5qfz
7,Queens,Astoria,Boro Zone,40.772014500000004,-73.9302673,"(40.7720145, -73.9302673)",40.77,-73.9,dr5rvw
8,Queens,Astoria Park,Boro Zone,40.7788277,-73.9226264888097,"(40.7788277, -73.9226264888097)",40.78,-73.9,dr5rvz
9,Queens,Auburndale,Boro Zone,40.765897499999994,-73.7943131,"(40.7658975, -73.7943131)",40.77,-73.8,dr5xbv
10,Queens,Baisley Park,Boro Zone,40.683786299999994,-73.7696805,"(40.6837863, -73.7696805)",40.69,-73.8,dr5x3q
11,Brooklyn,Bath Beach,Boro Zone,40.596450899999994,-73.9946592893255,"(40.5964509, -73.9946592893255)",40.6,-74.0,dr5qun
12,Manhattan,Battery Park,Yellow Zone,40.70291705,-74.0158007739805,"(40.70291705, -74.0158007739805)",40.7,-74.0,dr5re9
13,Manhattan,Battery Park City,Yellow Zone,40.7110166,-74.0169369,"(40.7110166, -74.0169369)",40.71,-74.0,dr5ree
14,Brooklyn,Bay Ridge,Boro Zone,40.6339929,-74.0145841,"(40.6339929, -74.0145841)",40.64,-74.0,dr5r5v
15,Queens,Bay Terrace/Fort Totten,Boro Zone,40.79642835,-73.7795126090753,"(40.79642835, -73.7795126090753)",40.79,-73.8,dr7814
16,Queens,Bayside,Boro Zone,40.768435100000005,-73.77707740000001,"(40.7684351, -73.7770774)",40.77,-73.8,dr5xcj
17,Brooklyn,Bedford,Boro Zone,40.7202445,-73.95542506390109,"(40.7202445, -73.9554250639011)",40.72,-74.0,dr5rth
