,Borough,Zone,service_zone,lat,lon,lat_6,lon_6,geohash_6,locationID
0,EWR,Newark Airport,EWR,40.6895,74.1745,40.69,74.2,txhxrz,0
1,Queens,Jamaica Bay,Boro Zone,40.6057,73.8713,40.61,73.9,txhx0b,1
2,Bronx,Allerton/Pelham Gardens,Boro Zone,21.8869,159.4928,21.89,159.5,xeckt2,2
3,Manhattan,Alphabet City,Yellow Zone,40.7258,73.9775,40.72,74.0,txhxem,3
4,Staten Island,Arden Heights,Boro Zone,40.5568,74.1739,40.56,74.2,txhwxz,4
5,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,,,-90.0,-180.0,000000,5
6,Queens,Astoria,Boro Zone,,,-90.0,-180.0,000000,6
7,Queens,Astoria Park,Boro Zone,,,-90.0,-180.0,000000,7
8,Queens,Auburndale,Boro Zone,,,-90.0,-180.0,000000,8
9,Queens,Baisley Park,Boro Zone,,,-90.0,-180.0,000000,9
10,Brooklyn,Bath Beach,Boro Zone,,,-90.0,-180.0,000000,10
11,Manhattan,Battery Park,Yellow Zone,,,-90.0,-180.0,000000,11
12,Manhattan,Battery Park City,Yellow Zone,,,-90.0,-180.0,000000,12
13,Brooklyn,Bay Ridge,Boro Zone,,,-90.0,-180.0,000000,13
14,Queens,Bay Terrace/Fort Totten,Boro Zone,,,-90.0,-180.0,000000,14
15,Queens,Bayside,Boro Zone,,,-90.0,-180.0,000000,15
16,Brooklyn,Bedford,Boro Zone,,,-90.0,-180.0,000000,16
17,Bronx,Bedford Park,Boro Zone,,,-90.0,-180.0,000000,17
18,Queens,Bellerose,Boro Zone,,,-90.0,-180.0,000000,18
19,Bronx,Belmont,Boro Zone,,,-90.0,-180.0,000000,19
20,Brooklyn,Bensonhurst East,Boro Zone,,,-90.0,-180.0,000000,20
21,Brooklyn,Bensonhurst West,Boro Zone,,,-90.0,-180.0,000000,21
22,Staten Island,Bloomfield/Emerson Hill,Boro Zone,,,-90.0,-180.0,000000,22
23,Manhattan,Bloomingdale,Yellow Zone,,,-90.0,-180.0,000000,23
24,Brooklyn,Boerum Hill,Boro Zone,,,-90.0,-180.0,000000,24
25,Brooklyn,Borough Park,Boro Zone,,,-90.0,-180.0,000000,25
26,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,,,-90.0,-180.0,000000,26
27,Queens,Briarwood/Jamaica Hills,Boro Zone,,,-90.0,-180.0,000000,27
28,Brooklyn,Brighton Beach,Boro Zone,,,-90.0,-180.0,000000,28
29,Queens,Broad Channel,Boro Zone,,,-90.0,-180.0,000000,29
30,Bronx,Bronx Park,Boro Zone,,,-90.0,-180.0,000000,30
31,Bronx,Bronxdale,Boro Zone,,,-90.0,-180.0,000000,31
32,Brooklyn,Brooklyn Heights,Boro Zone,,,-90.0,-180.0,000000,32
33,Brooklyn,Brooklyn Navy Yard,Boro Zone,,,-90.0,-180.0,000000,33
34,Brooklyn,Brownsville,Boro Zone,,,-90.0,-180.0,000000,34
35,Brooklyn,Bushwick North,Boro Zone,,,-90.0,-180.0,000000,35
36,Brooklyn,Bushwick South,Boro Zone,,,-90.0,-180.0,000000,36
37,Queens,Cambria Heights,Boro Zone,,,-90.0,-180.0,000000,37
38,Brooklyn,Canarsie,Boro Zone,,,-90.0,-180.0,000000,38
39,Brooklyn,Carroll Gardens,Boro Zone,,,-90.0,-180.0,000000,39
40,Manhattan,Central Harlem,Boro Zone,,,-90.0,-180.0,000000,40
41,Manhattan,Central Harlem North,Boro Zone,,,-90.0,-180.0,000000,41
