,lat_6,lon_6,locationID,geohash_6,Zone
0,40.69,-74.2,1,dr5r2p,Newark Airport
1,40.6,-73.8,2,dr5qzz,Jamaica Bay
2,40.86,-73.8,3,dr72rw,Allerton/Pelham Gardens
3,40.72,-74.0,4,dr5rst,Alphabet City
4,40.56,-74.2,5,dr5nxz,Arden Heights
5,40.6,-74.1,6,dr5qfz,Arrochar/Fort Wadsworth
6,40.77,-73.9,7,dr5rvw,Astoria
7,40.78,-73.9,8,dr5rvz,Astoria Park
8,40.77,-73.8,9,dr5xbv,Auburndale
9,40.69,-73.8,10,dr5x3q,Baisley Park
10,40.6,-74.0,11,dr5qun,Bath Beach
11,40.7,-74.0,12,dr5re9,Battery Park
12,40.71,-74.0,13,dr5ree,Battery Park City
13,40.64,-74.0,14,dr5r5v,Bay Ridge
14,40.79,-73.8,15,dr7814,Bay Terrace/Fort Totten
15,40.77,-73.8,16,dr5xcj,Bayside
16,40.72,-74.0,17,dr5rth,Bedford
17,40.87,-73.9,18,dr72w8,Bedford Park
18,40.73,-73.7,19,dr5xdx,Bellerose
19,40.86,-73.9,20,dr72qt,Belmont
20,40.6,-74.0,21,dr5qup,Bensonhurst East
21,40.6,-74.0,22,dr5qup,Bensonhurst West
22,40.61,-74.1,23,dr5r1b,Bloomfield/Emerson Hill
23,40.8,-74.0,24,dr72hg,Bloomingdale
24,40.69,-74.0,25,dr5rkq,Boerum Hill
25,40.64,-74.0,26,dr5rhj,Borough Park
26,40.56,-73.9,27,dr5qy2,Breezy Point/Fort Tilden/Riis Beach
27,40.71,-73.8,28,dr5x8e,Briarwood/Jamaica Hills
28,40.58,-74.0,29,dr5qv4,Brighton Beach
29,40.61,-73.8,30,dr5x00,Broad Channel
30,40.86,-73.9,31,dr72qy,Bronx Park
31,40.85,-73.9,32,dr72rh,Bronxdale
32,40.7,-74.0,33,dr5rs0,Brooklyn Heights
33,40.7,-74.0,34,dr5rsc,Brooklyn Navy Yard
34,40.67,-73.9,35,dr5rq5,Brownsville
35,40.7,-73.9,36,dr5rtb,Bushwick North
36,40.7,-73.9,37,dr5rtb,Bushwick South
37,40.7,-73.7,38,dr5xd0,Cambria Heights
38,40.64,-73.9,39,dr5rnq,Canarsie
39,40.68,-74.0,40,dr5rkj,Carroll Gardens
40,40.81,-73.9,41,dr72jk,Central Harlem
41,40.81,-73.9,42,dr72jk,Central Harlem North
42,40.78,-74.0,43,dr72hb,Central Park
43,40.51,-74.3,44,dr5nqq,Charleston/Tottenville
44,40.72,-74.0,45,dr5rsh,Chinatown
45,40.85,-73.8,46,dr782u,City Island
46,40.84,-73.9,47,dr72q6,Claremont/Bathgate
