vendorID,datetime,locationID,car_type
2,2017-01-01 00:00:01,36,green
2,2017-01-01 00:00:05,36,green
2,2017-01-01 00:00:08,189,green
2,2017-01-01 00:00:16,117,green
2,2017-01-01 00:00:19,166,green
2,2017-01-01 00:00:22,61,green
2,2017-01-01 00:00:27,17,green
1,2017-01-01 00:00:27,36,green
2,2017-01-01 00:00:28,179,green
1,2017-01-01 00:00:28,25,green
2,2017-01-01 00:00:29,256,green
2,2017-01-01 00:00:30,82,green
2,2017-01-01 00:00:36,91,green
2,2017-01-01 00:00:39,70,green
1,2017-01-01 00:00:40,61,green
2,2017-01-01 00:00:45,152,green
2,2017-01-01 00:00:45,152,green
2,2017-01-01 00:00:50,228,green
2,2017-01-01 00:00:51,166,green
2,2017-01-01 00:00:51,256,green
1,2017-01-01 00:00:54,129,green
2,2017-01-01 00:00:55,82,green
2,2017-01-01 00:00:57,169,green
2,2017-01-01 00:00:59,95,green
2,2017-01-01 00:01:03,255,green
2,2017-01-01 00:01:04,33,green
1,2017-01-01 00:01:05,33,green
2,2017-01-01 00:01:07,82,green
2,2017-01-01 00:01:11,129,green
2,2017-01-01 00:01:15,42,green
2,2017-01-01 00:01:17,41,green
2,2017-01-01 00:01:17,129,green
2,2017-01-01 00:01:18,41,green
2,2017-01-01 00:01:19,256,green
2,2017-01-01 00:01:19,80,green
1,2017-01-01 00:01:21,74,green
2,2017-01-01 00:01:22,41,green
1,2017-01-01 00:01:24,75,green
2,2017-01-01 00:01:27,216,green
2,2017-01-01 00:01:28,215,green
2,2017-01-01 00:01:29,43,green
2,2017-01-01 00:01:31,112,green
2,2017-01-01 00:01:33,82,green
2,2017-01-01 00:01:35,189,green
2,2017-01-01 00:01:35,41,green
2,2017-01-01 00:01:37,146,green
2,2017-01-01 00:01:37,25,green
2,2017-01-01 00:01:38,181,green
2,2017-01-01 00:01:39,82,green
2,2017-01-01 00:01:40,255,green
2,2017-01-01 00:01:40,112,green
1,2017-01-01 00:01:46,17,green
2,2017-01-01 00:01:48,85,green
2,2017-01-01 00:01:51,7,green
2,2017-01-01 00:01:51,223,green
2,2017-01-01 00:01:52,166,green
2,2017-01-01 00:01:52,85,green
2,2017-01-01 00:01:56,134,green
2,2017-01-01 00:01:57,75,green
2,2017-01-01 00:01:57,65,green
1,2017-01-01 00:02:00,95,green
2,2017-01-01 00:02:01,75,green
1,2017-01-01 00:02:02,49,green
2,2017-01-01 00:02:02,166,green
2,2017-01-01 00:02:02,17,green
2,2017-01-01 00:02:04,7,green
1,2017-01-01 00:02:08,225,green
2,2017-01-01 00:02:09,95,green
2,2017-01-01 00:02:11,181,green
1,2017-01-01 00:02:12,181,green
2,2017-01-01 00:02:14,106,green
2,2017-01-01 00:02:14,181,green
2,2017-01-01 00:02:15,25,green
1,2017-01-01 00:02:15,106,green
2,2017-01-01 00:02:16,256,green
2,2017-01-01 00:02:17,37,green
1,2017-01-01 00:02:18,225,green
2,2017-01-01 00:02:18,42,green
1,2017-01-01 00:02:19,97,green
2,2017-01-01 00:02:20,80,green
2,2017-01-01 00:02:26,145,green
2,2017-01-01 00:02:26,65,green
2,2017-01-01 00:02:26,92,green
1,2017-01-01 00:02:27,217,green
2,2017-01-01 00:02:27,7,green
2,2017-01-01 00:02:27,7,green
2,2017-01-01 00:02:29,152,green
2,2017-01-01 00:02:31,256,green
2,2017-01-01 00:02:31,226,green
2,2017-01-01 00:02:31,75,green
1,2017-01-01 00:02:35,17,green
2,2017-01-01 00:02:35,17,green
2,2017-01-01 00:02:35,33,green
2,2017-01-01 00:02:36,69,green
2,2017-01-01 00:02:39,74,green
2,2017-01-01 00:02:40,223,green
2,2017-01-01 00:02:42,75,green
2,2017-01-01 00:02:44,7,green
2,2017-01-01 00:02:45,255,green
2,2017-01-01 00:02:51,41,green
2,2017-01-01 00:02:52,129,green
2,2017-01-01 00:02:54,97,green
2,2017-01-01 00:02:54,189,green
2,2017-01-01 00:02:56,129,green
2,2017-01-01 00:02:59,95,green
1,2017-01-01 00:03:03,116,green
2,2017-01-01 00:03:04,92,green
2,2017-01-01 00:03:06,33,green
2,2017-01-01 00:03:07,7,green
2,2017-01-01 00:03:08,146,green
2,2017-01-01 00:03:12,66,green
2,2017-01-01 00:03:15,37,green
1,2017-01-01 00:03:16,37,green
1,2017-01-01 00:03:17,61,green
2,2017-01-01 00:03:20,255,green
2,2017-01-01 00:03:27,36,green
1,2017-01-01 00:03:27,41,green
2,2017-01-01 00:03:28,82,green
2,2017-01-01 00:03:28,260,green
2,2017-01-01 00:03:29,130,green
2,2017-01-01 00:03:30,181,green
2,2017-01-01 00:03:30,33,green
2,2017-01-01 00:03:32,42,green
2,2017-01-01 00:03:32,226,green
1,2017-01-01 00:03:34,52,green
2,2017-01-01 00:03:34,75,green
2,2017-01-01 00:03:34,37,green
1,2017-01-01 00:03:35,255,green
1,2017-01-01 00:03:35,91,green
2,2017-01-01 00:03:41,255,green
2,2017-01-01 00:03:46,24,green
2,2017-01-01 00:03:49,36,green
2,2017-01-01 00:03:51,42,green
2,2017-01-01 00:03:54,17,green
2,2017-01-01 00:03:54,198,green
1,2017-01-01 00:03:54,33,green
2,2017-01-01 00:03:56,247,green
2,2017-01-01 00:03:58,181,green
2,2017-01-01 00:03:58,75,green
2,2017-01-01 00:03:59,55,green
2,2017-01-01 00:04:00,74,green
2,2017-01-01 00:04:00,42,green
2,2017-01-01 00:04:02,65,green
2,2017-01-01 00:04:02,82,green
1,2017-01-01 00:04:03,80,green
2,2017-01-01 00:04:03,66,green
2,2017-01-01 00:04:03,192,green
2,2017-01-01 00:04:04,174,green
2,2017-01-01 00:04:04,256,green
1,2017-01-01 00:04:05,181,green
1,2017-01-01 00:04:05,129,green
2,2017-01-01 00:04:08,61,green
2,2017-01-01 00:04:09,116,green
1,2017-01-01 00:04:09,255,green
2,2017-01-01 00:04:10,255,green
2,2017-01-01 00:04:14,97,green
2,2017-01-01 00:04:15,181,green
2,2017-01-01 00:04:17,129,green
2,2017-01-01 00:04:19,89,green
1,2017-01-01 00:04:19,82,green
2,2017-01-01 00:04:26,40,green
2,2017-01-01 00:04:31,80,green
2,2017-01-01 00:04:31,74,green
2,2017-01-01 00:04:35,129,green
1,2017-01-01 00:04:35,49,green
1,2017-01-01 00:04:36,116,green
1,2017-01-01 00:04:37,181,green
1,2017-01-01 00:04:39,41,green
2,2017-01-01 00:04:39,173,green
1,2017-01-01 00:04:39,75,green
1,2017-01-01 00:04:41,80,green
1,2017-01-01 00:04:44,223,green
2,2017-01-01 00:04:46,196,green
2,2017-01-01 00:04:46,255,green
2,2017-01-01 00:04:46,129,green
2,2017-01-01 00:04:49,181,green
2,2017-01-01 00:04:50,129,green
2,2017-01-01 00:04:52,255,green
2,2017-01-01 00:04:53,255,green
2,2017-01-01 00:04:54,255,green
2,2017-01-01 00:04:55,41,green
2,2017-01-01 00:04:58,181,green
2,2017-01-01 00:04:59,126,green
2,2017-01-01 00:04:59,181,green
2,2017-01-01 00:05:00,61,green
2,2017-01-01 00:05:00,152,green
2,2017-01-01 00:05:01,28,green
2,2017-01-01 00:05:05,25,green
2,2017-01-01 00:05:05,61,green
2,2017-01-01 00:05:06,256,green
2,2017-01-01 00:05:09,225,green
2,2017-01-01 00:05:10,116,green
2,2017-01-01 00:05:12,130,green
2,2017-01-01 00:05:16,25,green
2,2017-01-01 00:05:17,181,green
2,2017-01-01 00:05:20,52,green
2,2017-01-01 00:05:21,7,green
2,2017-01-01 00:05:22,223,green
2,2017-01-01 00:05:22,244,green
2,2017-01-01 00:05:23,37,green
2,2017-01-01 00:05:23,41,green
2,2017-01-01 00:05:26,74,green
2,2017-01-01 00:05:27,17,green
2,2017-01-01 00:05:27,7,green
2,2017-01-01 00:05:30,42,green
2,2017-01-01 00:05:34,255,green
2,2017-01-01 00:05:34,255,green
2,2017-01-01 00:05:38,41,green
2,2017-01-01 00:05:39,80,green
2,2017-01-01 00:05:40,35,green
2,2017-01-01 00:05:42,92,green
2,2017-01-01 00:05:42,190,green
2,2017-01-01 00:05:45,82,green
2,2017-01-01 00:05:46,255,green
1,2017-01-01 00:05:49,41,green
2,2017-01-01 00:05:49,65,green
2,2017-01-01 00:05:50,256,green
2,2017-01-01 00:05:50,256,green
2,2017-01-01 00:05:51,116,green
2,2017-01-01 00:05:53,130,green
2,2017-01-01 00:05:53,97,green
2,2017-01-01 00:05:56,181,green
2,2017-01-01 00:05:57,255,green
2,2017-01-01 00:05:58,190,green
1,2017-01-01 00:05:58,42,green
2,2017-01-01 00:06:00,75,green
1,2017-01-01 00:06:02,188,green
1,2017-01-01 00:06:07,42,green
2,2017-01-01 00:06:08,42,green
2,2017-01-01 00:06:08,256,green
2,2017-01-01 00:06:09,181,green
2,2017-01-01 00:06:10,25,green
2,2017-01-01 00:06:10,41,green
1,2017-01-01 00:06:10,228,green
1,2017-01-01 00:06:12,77,green
2,2017-01-01 00:06:14,95,green
2,2017-01-01 00:06:17,82,green
2,2017-01-01 00:06:17,117,green
2,2017-01-01 00:06:17,166,green
2,2017-01-01 00:06:18,17,green
1,2017-01-01 00:06:19,75,green
2,2017-01-01 00:06:21,41,green
2,2017-01-01 00:06:22,256,green
2,2017-01-01 00:06:23,61,green
2,2017-01-01 00:06:24,130,green
2,2017-01-01 00:06:25,130,green
2,2017-01-01 00:06:27,177,green
2,2017-01-01 00:06:27,42,green
1,2017-01-01 00:06:28,210,green
2,2017-01-01 00:06:28,255,green
2,2017-01-01 00:06:29,17,green
2,2017-01-01 00:06:31,25,green
1,2017-01-01 00:06:31,33,green
1,2017-01-01 00:06:31,130,green
2,2017-01-01 00:06:33,255,green
